iter	Passed	Remaining
0	37	37460
1	67	33478
2	100	33262
3	129	32332
4	160	31959
5	186	30946
6	212	30079
7	236	29377
8	268	29540
9	295	29302
10	319	28769
11	345	28427
12	371	28199
13	395	27840
14	420	27619
15	446	27431
16	479	27739
17	504	27532
18	529	27356
19	553	27134
20	578	26958
21	604	26887
22	628	26703
23	654	26614
24	678	26477
25	709	26591
26	735	26514
27	762	26473
28	788	26416
29	813	26303
30	843	26365
31	868	26267
32	896	26259
33	935	26587
34	980	27036
35	1033	27683
36	1120	29162
37	1231	31167
38	1305	32157
39	1405	33731
40	1465	34284
41	1519	34662
42	1577	35107
43	1615	35108
44	1652	35067
45	1689	35037
46	1723	34952
47	1753	34785
48	1782	34601
49	1813	34451
50	1845	34349
51	1885	34382
52	1924	34384
53	1964	34416
54	1999	34348
55	2034	34298
56	2069	34244
57	2104	34180
58	2144	34195
59	2182	34187
60	2225	34252
61	2259	34190
62	2302	34248
63	2340	34228
64	2375	34171
65	2407	34063
66	2453	34159
67	2487	34087
68	2517	33969
69	2548	33852
70	2574	33684
71	2600	33517
72	2627	33364
73	2654	33220
74	2681	33076
75	2720	33075
76	2755	33035
77	2785	32928
78	2814	32806
79	2838	32647
80	2866	32519
81	2896	32431
82	2956	32666
83	3013	32863
84	3064	32983
85	3102	32968
86	3140	32960
87	3188	33040
88	3234	33111
89	3269	33061
90	3296	32925
91	3321	32785
92	3347	32644
93	3374	32523
94	3400	32394
95	3430	32305
96	3469	32302
97	3502	32235
98	3527	32106
99	3553	31984
100	3578	31849
101	3610	31782
102	3636	31671
103	3662	31552
104	3685	31416
105	3711	31298
106	3734	31170
107	3760	31062
108	3789	30973
109	3819	30902
110	3845	30794
111	3870	30686
112	3893	30564
113	3919	30459
114	3945	30360
115	3969	30252
116	3995	30151
117	4025	30087
118	4059	30054
119	4083	29949
120	4110	29861
121	4135	29758
122	4160	29662
123	4186	29574
124	4211	29481
125	4243	29434
126	4276	29398
127	4300	29299
128	4326	29209
129	4351	29121
130	4374	29020
131	4399	28930
132	4423	28837
133	4457	28807
134	4486	28748
135	4515	28688
136	4542	28615
137	4566	28524
138	4590	28437
139	4616	28356
140	4640	28269
141	4665	28189
142	4698	28156
143	4725	28089
144	4751	28016
145	4777	27946
146	4802	27870
147	4827	27792
148	4854	27724
149	4878	27642
150	4902	27565
151	4934	27527
152	4959	27456
153	4985	27385
154	5009	27307
155	5034	27237
156	5071	27230
157	5097	27167
158	5127	27119
159	5153	27056
160	5181	26999
161	5205	26926
162	5230	26860
163	5256	26796
164	5281	26726
165	5306	26658
166	5337	26622
167	5363	26561
168	5388	26497
169	5414	26436
170	5440	26375
171	5466	26315
172	5496	26277
173	5529	26247
174	5561	26216
175	5587	26158
176	5613	26101
177	5638	26039
178	5662	25972
179	5686	25904
180	5709	25835
181	5734	25775
182	5759	25713
183	5793	25691
184	5817	25629
185	5843	25573
186	5869	25516
187	5893	25455
188	5919	25401
189	5945	25346
190	5970	25288
191	5996	25236
192	6026	25199
193	6064	25196
194	6092	25150
195	6118	25096
196	6144	25043
197	6170	24991
198	6196	24942
199	6226	24907
200	6253	24856
201	6279	24807
202	6304	24752
203	6330	24701
204	6355	24645
205	6379	24587
206	6405	24539
207	6436	24507
208	6462	24458
209	6493	24429
210	6529	24415
211	6554	24362
212	6580	24315
213	6605	24261
214	6635	24227
215	6662	24183
216	6687	24131
217	6711	24076
218	6737	24026
219	6765	23986
220	6790	23937
221	6816	23889
222	6842	23840
223	6873	23811
224	6898	23763
225	6922	23707
226	6948	23661
227	6974	23614
228	6999	23565
229	7025	23519
230	7053	23480
231	7097	23495
232	7126	23458
233	7153	23418
234	7179	23372
235	7204	23321
236	7230	23278
237	7255	23229
238	7280	23180
239	7311	23153
240	7338	23111
241	7364	23066
242	7388	23017
243	7414	22972
244	7441	22930
245	7474	22909
246	7512	22901
247	7549	22892
248	7590	22892
249	7623	22869
250	7654	22842
251	7688	22820
252	7719	22792
253	7753	22773
254	7789	22756
255	7815	22712
256	7839	22664
257	7863	22614
258	7890	22576
259	7921	22545
260	7949	22508
261	7976	22467
262	8009	22446
263	8035	22402
264	8093	22447
265	8119	22403
266	8145	22362
267	8170	22316
268	8195	22271
269	8252	22313
270	8292	22306
271	8325	22282
272	8360	22264
273	8402	22262
274	8444	22263
275	8485	22258
276	8536	22280
277	8590	22310
278	8627	22295
279	8657	22260
280	8682	22217
281	8706	22168
282	8736	22134
283	8762	22092
284	8787	22046
285	8829	22042
286	8854	21997
287	8880	21954
288	8907	21913
289	8933	21872
290	8958	21827
291	8984	21783
292	9009	21740
293	9035	21697
294	9068	21673
295	9117	21684
296	9145	21647
297	9172	21606
298	9197	21562
299	9224	21523
300	9252	21487
301	9282	21454
302	9309	21415
303	9336	21376
304	9361	21332
305	9387	21290
306	9414	21252
307	9440	21210
308	9466	21168
309	9494	21132
